CONSTTK const
INTTK int
IDENFR _
ASSIGN =
PLUS +
INTCON 1
COMMA ,
IDENFR aA
ASSIGN =
INTCON 10
COMMA ,
IDENFR a1
ASSIGN =
MINU -
INTCON 10
SEMICN ;
INTTK int
IDENFR b
LBRACK [
INTCON 5
RBRACK ]
COMMA ,
IDENFR b2
LBRACK [
INTCON 5
RBRACK ]
LBRACK [
INTCON 5
RBRACK ]
SEMICN ;
CHARTK char
IDENFR c
LBRACK [
INTCON 3
RBRACK ]
ASSIGN =
LBRACE {
CHARCON a
COMMA ,
CHARCON /
COMMA ,
CHARCON -
RBRACE }
SEMICN ;
CHARTK char
IDENFR c2
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
CHARCON +
COMMA ,
CHARCON *
RBRACE }
COMMA ,
LBRACE {
CHARCON a
COMMA ,
CHARCON 1
RBRACE }
RBRACE }
SEMICN ;
INTTK int
IDENFR d
SEMICN ;
CHARTK char
IDENFR e
ASSIGN =
CHARCON _
SEMICN ;
INTTK int
IDENFR Has_ReturnAndOnePara_Func
LPARENT (
INTTK int
IDENFR a
RPARENT )
LBRACE {
INTTK int
IDENFR temp
ASSIGN =
INTCON 1
SEMICN ;
INTTK int
IDENFR temp2
SEMICN ;
INTTK int
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
LBRACE {
IDENFR temp2
ASSIGN =
INTCON 0
SEMICN ;
IDENFR b
LBRACK [
INTCON 0
RBRACK ]
ASSIGN =
INTCON 0
SEMICN ;
IDENFR b2
LBRACK [
INTCON 4
RBRACK ]
LBRACK [
INTCON 4
RBRACK ]
ASSIGN =
INTCON 0
SEMICN ;
IFTK if
LPARENT (
IDENFR temp2
EQL ==
INTCON 0
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR temp2
GRE >
INTCON 0
RPARENT )
SEMICN ;
ELSETK else
SEMICN ;
WHILETK while
LPARENT (
IDENFR temp2
NEQ !=
INTCON 1
RPARENT )
LBRACE {
IDENFR temp2
ASSIGN =
IDENFR temp
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON wdnmd
COMMA ,
IDENFR temp
PLUS +
IDENFR temp2
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON wdnmd2
RPARENT )
SEMICN ;
RBRACE }
FORTK for
LPARENT (
