CONSTTK const
INTTK int
IDENFR c
ASSIGN =
INTCON 2
COMMA ,
IDENFR m
ASSIGN =
INTCON 3
SEMICN ;
CHARTK char
IDENFR ga
ASSIGN =
CHARCON _
SEMICN ;
CHARTK char
IDENFR gb
ASSIGN =
CHARCON *
SEMICN ;
INTTK int
IDENFR a
SEMICN ;
INTTK int
IDENFR b
SEMICN ;
VOIDTK void
IDENFR zzz
LPARENT (
RPARENT )
LBRACE {
RBRACE }
VOIDTK void
IDENFR aaa
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
IDENFR ttt
LPARENT (
INTTK int
IDENFR m
RPARENT )
LBRACE {
IDENFR m
ASSIGN =
IDENFR m
PLUS +
INTCON 1
SEMICN ;
RETURNTK return
LPARENT (
IDENFR m
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR q
ASSIGN =
INTCON 1
SEMICN ;
CHARTK char
IDENFR qq
SEMICN ;
INTTK int
IDENFR qqq
LBRACK [
INTCON 5
RBRACK ]
COMMA ,
IDENFR qqqq
LBRACK [
INTCON 10
RBRACK ]
LBRACK [
INTCON 10
RBRACK ]
SEMICN ;
INTTK int
IDENFR a
COMMA ,
IDENFR b
SEMICN ;
INTTK int
IDENFR c
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR c
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18375420
RPARENT )
SEMICN ;
IDENFR a
ASSIGN =
INTCON 3
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON a 
COMMA ,
IDENFR a
RPARENT )
SEMICN ;
IDENFR a
ASSIGN =
PLUS +
INTCON 3
SEMICN ;
IDENFR a
ASSIGN =
INTCON 5
PLUS +
INTCON 5
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON a 
COMMA ,
IDENFR a
RPARENT )
SEMICN ;
IDENFR b
ASSIGN =
MINU -
INTCON 3
MINU -
INTCON 2
MULT *
INTCON 3
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON b 
COMMA ,
IDENFR b
RPARENT )
SEMICN ;
IDENFR c
ASSIGN =
CHARCON 3
PLUS +
INTCON 3
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON a 
COMMA ,
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
GRE >
IDENFR b
RPARENT )
LBRACE {
IDENFR a
ASSIGN =
IDENFR ttt
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IDENFR b
ASSIGN =
IDENFR ttt
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
LSS <
IDENFR b
RPARENT )
LBRACE {
IDENFR aaa
LPARENT (
RPARENT )
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
GEQ >=
IDENFR b
RPARENT )
LBRACE {
IDENFR zzz
LPARENT (
RPARENT )
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
LEQ <=
IDENFR b
RPARENT )
LBRACE {
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
NEQ !=
IDENFR b
RPARENT )
LBRACE {
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR a
EQL ==
IDENFR b
RPARENT )
LBRACE {
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
