CONSTTK const
INTTK int
IDENFR fixed_num1
ASSIGN =
INTCON 1
COMMA ,
IDENFR fixed_num2
ASSIGN =
INTCON 2
COMMA ,
IDENFR fixed_num3
ASSIGN =
INTCON 5
COMMA ,
IDENFR fixed_num4
ASSIGN =
INTCON 6
SEMICN ;
VOIDTK void
IDENFR printFunc1
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
RPARENT )
LBRACE {
INTTK int
IDENFR x
SEMICN ;
INTTK int
IDENFR y
SEMICN ;
IDENFR x
ASSIGN =
IDENFR a
PLUS +
IDENFR b
SEMICN ;
IDENFR y
ASSIGN =
IDENFR a
MINU -
IDENFR b
SEMICN ;
IFTK if
LPARENT (
IDENFR a
GRE >
INTCON 0
RPARENT )
LBRACE {
IDENFR x
ASSIGN =
PLUS +
INTCON 1
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR x
GRE >
IDENFR y
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR x
RPARENT )
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR y
RPARENT )
SEMICN ;
RBRACE }
RBRACE }
CHARTK char
IDENFR GetCharFunc
LPARENT (
INTTK int
IDENFR x
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR x
GEQ >=
INTCON 0
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
CHARCON a
RPARENT )
SEMICN ;
RBRACE }
RETURNTK return
LPARENT (
CHARCON b
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR variable_num1
COMMA ,
IDENFR variable_num2
COMMA ,
IDENFR variable_num3
COMMA ,
IDENFR variable_NumArray1
LBRACK [
INTCON 5
RBRACK ]
COMMA ,
IDENFR variable_NumArray2
LBRACK [
INTCON 5
RBRACK ]
LBRACK [
INTCON 5
RBRACK ]
SEMICN ;
INTTK int
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
INTTK int
IDENFR j
ASSIGN =
PLUS +
INTCON 3
SEMICN ;
INTTK int
IDENFR k
ASSIGN =
PLUS +
INTCON 0
SEMICN ;
INTTK int
