CONSTTK const
CHARTK char
IDENFR a
ASSIGN =
CHARCON a
SEMICN ;
CHARTK char
IDENFR net
LBRACK [
INTCON 9
RBRACK ]
ASSIGN =
LBRACE {
CHARCON x
COMMA ,
CHARCON b
COMMA ,
CHARCON c
COMMA ,
CHARCON d
COMMA ,
CHARCON e
COMMA ,
CHARCON f
COMMA ,
CHARCON g
COMMA ,
CHARCON h
COMMA ,
CHARCON i
RBRACE }
SEMICN ;
CHARTK char
IDENFR toChar
LPARENT (
INTTK int
IDENFR i
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
IDENFR net
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR i
SEMICN ;
CHARTK char
IDENFR c
SEMICN ;
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373330
RPARENT )
SEMICN ;
IDENFR net
LBRACK [
INTCON 0
RBRACK ]
ASSIGN =
CHARCON a
SEMICN ;
SEMICN ;
WHILETK while
LPARENT (
IDENFR i
LSS <
INTCON 9
RPARENT )
LBRACE {
IDENFR c
ASSIGN =
IDENFR toChar
LPARENT (
IDENFR i
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR c
RPARENT )
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RETURNTK return
SEMICN ;
RBRACE }
