CONSTTK const
CHARTK char
IDENFR anm
ASSIGN =
CHARCON a
COMMA ,
IDENFR bal
ASSIGN =
CHARCON b
SEMICN ;
INTTK int
IDENFR arr
LBRACK [
INTCON 3
RBRACK ]
SEMICN ;
CHARTK char
IDENFR Woo
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
CHARCON a
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR x
COMMA ,
IDENFR y
SEMICN ;
CHARTK char
IDENFR c
SEMICN ;
IDENFR x
ASSIGN =
PLUS +
INTCON 11
SEMICN ;
IDENFR y
ASSIGN =
MINU -
INTCON 12
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373803
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR x
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR y
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON -(x+y)=
COMMA ,
MINU -
LPARENT (
IDENFR x
PLUS +
IDENFR y
RPARENT )
RPARENT )
SEMICN ;
IFTK if
LPARENT (
INTCON 1
GRE >
INTCON 0
RPARENT )
PRINTFTK printf
LPARENT (
STRCON 1>0
RPARENT )
SEMICN ;
IFTK if
LPARENT (
MINU -
INTCON 1
LSS <
INTCON 0
RPARENT )
PRINTFTK printf
LPARENT (
STRCON -1<0
RPARENT )
SEMICN ;
IFTK if
LPARENT (
INTCON 0
EQL ==
INTCON 0
RPARENT )
LBRACE {
RBRACE }
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373803
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373803
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373803
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373803
RPARENT )
SEMICN ;
RBRACE }
