VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
CHARTK char
IDENFR c
SEMICN ;
INTTK int
IDENFR a
COMMA ,
IDENFR b
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18231169
RPARENT )
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR c
RPARENT )
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
SWITCHTK switch
LPARENT (
IDENFR c
RPARENT )
LBRACE {
CASETK case
CHARCON +
COLON :
PRINTFTK printf
LPARENT (
IDENFR a
PLUS +
IDENFR b
RPARENT )
SEMICN ;
CASETK case
CHARCON -
COLON :
PRINTFTK printf
LPARENT (
IDENFR a
MINU -
IDENFR b
RPARENT )
SEMICN ;
CASETK case
CHARCON *
COLON :
PRINTFTK printf
LPARENT (
IDENFR a
MULT *
IDENFR b
RPARENT )
SEMICN ;
CASETK case
CHARCON /
COLON :
PRINTFTK printf
LPARENT (
IDENFR a
DIV /
IDENFR b
RPARENT )
SEMICN ;
DEFAULTTK default
COLON :
PRINTFTK printf
LPARENT (
STRCON error!
RPARENT )
SEMICN ;
RBRACE }
SWITCHTK switch
LPARENT (
IDENFR a
RPARENT )
LBRACE {
CASETK case
INTCON 1
COLON :
PRINTFTK printf
LPARENT (
INTCON 1
RPARENT )
SEMICN ;
DEFAULTTK default
COLON :
PRINTFTK printf
LPARENT (
STRCON a is not 1!
RPARENT )
SEMICN ;
RBRACE }
FORTK for
LPARENT (
IDENFR a
ASSIGN =
INTCON 0
SEMICN ;
IDENFR a
LSS <
INTCON 6
SEMICN ;
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
RPARENT )
LBRACE {
SCANFTK scanf
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
STRCON file3 over!
RPARENT )
SEMICN ;
RBRACE }
